Class,Description
Airport,manmade
Arch,natural
Area,natural
Arroyo,natural
Bar,natural
Basin,natural
Bay,natural
Beach,natural
Bench,natural
Bend,natural
Bridge,manmade
Building,manmade
Canal,manmade
Cape,natural
Cave,natural
Cemetery,manmade
Census,manmade
Channel,natural
Church,manmade
Civil,manmade
Cliff,natural
Crater,natural
Crossing,manmade
Dam,manmade
Falls,natural
Flat,natural
Forest,natural
Gap,natural
Glacier,natural
Gut,natural
Harbor,manmade
Hospital,manmade
Island,natural
Isthmus,natural
Lake,natural
Lava,natural
Levee,manmade
Locale,manmade
Military,manmade
Mine,manmade
Oilfield,manmade
Park,manmade
Pillar,natural
Plain,natural
Populated Place,manmade
Post Office,manmade
Range,natural
Rapids,natural
Reserve,manmade
Reservoir,manmade
Ridge,natural
School,manmade
Sea,natural
Slope,natural
Spring,natural
Stream,natural
Summit,natural
Swamp,natural
Tower,manmade
Trail,manmade
Tunnel,manmade
Valley,natural
Well,manmade
Woods,natural
